position,probability
1.0,7.197017969293972e-32
2.0,8.946807994604139e-25
3.0,1.3258226152674365e-18
4.0,2.342094983040259e-13
5.0,4.9320260331625525e-09
6.0,1.238077959530971e-05
7.0,0.003704865104008254
8.0,0.13215955955834438
9.0,0.561987351324042
10.0,0.28487627033483803
11.0,0.017214237246400182
12.0,0.00012399982403478462
13.0,1.0647707912523609e-07
14.0,1.0899158410798426e-11
15.0,1.3299385534006572e-16
16.0,1.9345143807022297e-22
17.0,3.35439440163663e-29
18.0,6.9335884818847536e-37
19.0,1.708455908520171e-45
20.0,5.0182381016581456e-55
