position,probability
1.0,2.0619193497261318e-07
2.0,0.00044029840636703523
3.0,0.061914986719992314
4.0,0.573347186704141
5.0,0.3496333237606957
6.0,0.01404045503299321
7.0,3.712981439595037e-05
8.0,6.466028355978682e-09
9.0,7.415247695231026e-14
10.0,5.599986131905775e-20
11.0,2.7849760943428722e-27
12.0,9.120722091350502e-36
13.0,1.9670264758651972e-45
14.0,2.793601268465325e-56
15.0,2.612713950316771e-68
16.0,1.6091352188715545e-81
17.0,6.52629119545416e-96
18.0,1.7430650143922272e-111
19.0,3.065730367848739e-128
20.0,3.5508110011899633e-146
