position,probability
1.0,4.511126514102726e-57
2.0,2.49756688183175e-45
3.0,5.833535269356757e-35
4.0,5.748163465253613e-26
5.0,2.3895106648188804e-18
6.0,4.1905537688739475e-12
7.0,3.1003908233677955e-07
8.0,0.0009677073712780264
9.0,0.12742488100410745
10.0,0.7078594026664796
11.0,0.16589082040605904
12.0,0.0016401376030107445
13.0,6.841019014018405e-07
14.0,1.2037710384620925e-11
15.0,8.936131775297058e-18
16.0,2.7985806015839585e-25
17.0,3.697504026810941e-34
18.0,2.0609244562211145e-44
19.0,4.846163599480232e-56
20.0,4.807470750637548e-69
