position,probability
1.0,8.241844378966607e-24
2.0,3.054662224081892e-19
3.0,3.4798316963780194e-15
4.0,1.2184551454415404e-11
5.0,1.3113454515242048e-08
6.0,4.337914055930274e-06
7.0,0.000441063413047292
8.0,0.01378406731973313
9.0,0.1324067111963282
10.0,0.39092988574844656
11.0,0.3547676473882788
12.0,0.09895674571286084
13.0,0.008484046937949123
14.0,0.00022357177856873337
15.0,1.810869533681415e-06
16.0,4.508308261284779e-09
17.0,3.449818976047968e-12
18.0,8.114004998246298e-16
19.0,5.865843829946104e-20
20.0,1.3034128040378744e-24
