position,probability
1.0,2.5398740131071516e-25
2.0,4.808185737361964e-19
3.0,1.0610656572836268e-13
4.0,2.7295763199784016e-09
5.0,8.185405266348424e-06
6.0,0.0028613902463536863
7.0,0.11660198920423609
8.0,0.5538941618461657
9.0,0.3067182212489657
10.0,0.019799048860377248
11.0,0.0001489844832727118
12.0,1.3068619450464441e-07
13.0,1.3363196226946788e-11
14.0,1.592879565007927e-16
15.0,2.213336759722655e-22
16.0,3.5851226210647956e-29
17.0,6.769436096190732e-37
18.0,1.4900228636456432e-45
19.0,3.823185173488998e-55
20.0,1.143535615418821e-65
