position,probability
1.0,1.6864446243469186e-50
2.0,3.885070148001937e-41
3.0,9.383649242534831e-33
4.0,2.376242658382112e-25
5.0,6.308933243905325e-19
6.0,1.7561726026164527e-13
7.0,5.125362472300318e-09
8.0,1.568296211371213e-05
9.0,0.005031271151269493
10.0,0.1692284883885836
11.0,0.5967814955052815
12.0,0.22064970098031167
13.0,0.008553373949202017
14.0,3.476303594378096e-05
15.0,1.4813035270059382e-08
16.0,6.617844188863515e-13
17.0,3.0998104669754673e-18
18.0,1.5222986577777189e-24
19.0,7.838098377065361e-32
20.0,4.23124017136495e-40
