position,probability
1.0,2.5921584874431015e-88
2.0,2.121295759625695e-75
3.0,1.6127902599254276e-63
4.0,1.1391779119163387e-52
5.0,7.475533892809356e-43
6.0,4.557533500107171e-34
7.0,2.5813953293973692e-26
8.0,1.3583640082256374e-19
9.0,6.640714468356366e-14
10.0,3.0161326932995273e-09
11.0,1.2726913040690003e-05
12.0,0.004989220576387424
13.0,0.18171020920688824
14.0,0.6148411802442043
15.0,0.1932785070341598
16.0,0.005644703992856908
17.0,1.531566217571449e-05
18.0,3.8607117709297504e-09
19.0,9.041406107585243e-14
20.0,1.967168534465179e-19
