position,probability
1.0,2.3921512048697107e-110
2.0,3.5085737410528203e-93
3.0,1.7724990189566054e-77
4.0,3.084287201616134e-63
5.0,1.8485748217646995e-50
6.0,3.816213545624969e-39
7.0,2.713574300041196e-29
8.0,6.646058804919677e-21
9.0,5.6066062305368236e-14
10.0,1.6291060048016292e-08
11.0,0.00016304671269883172
12.0,0.056206709761754355
13.0,0.6673869232163798
14.0,0.27294845220548575
15.0,0.0038450057401043505
16.0,1.8656353516210774e-06
17.0,3.1179557404450664e-11
18.0,1.7948433201511193e-17
19.0,3.558742407246152e-25
20.0,2.4304124293293817e-34
