position,probability
1.0,1.6587807363116286e-54
2.0,5.026652123462717e-45
3.0,1.817904152975941e-36
4.0,7.846309547249823e-29
5.0,4.041682536353458e-22
6.0,2.48462735505429e-16
7.0,1.8228991032417706e-11
8.0,1.5961228117404267e-07
9.0,0.00016679087314246734
10.0,0.02080082518918432
11.0,0.3095930128083294
12.0,0.5499257316138892
13.0,0.11657870758507755
14.0,0.0029494207802910574
15.0,8.905463737391693e-06
16.0,3.209065988961855e-09
17.0,1.3800761805387902e-13
18.0,7.083204443730413e-19
19.0,4.3386917731452105e-25
20.0,3.1716855524551933e-32
