position,probability
1.0,6.929740288131757e-27
2.0,4.3699083402010395e-20
3.0,2.5647360248361022e-14
4.0,1.4009672778800846e-09
5.0,7.122431589271547e-06
6.0,0.003370105966655689
7.0,0.14841363496711685
8.0,0.6083016894033211
9.0,0.23204874205768444
10.0,0.008238618438578055
11.0,2.722353611411274e-05
12.0,8.372393991920016e-09
13.0,2.3964576256411646e-13
14.0,6.38417563230847e-19
15.0,1.5829050821571992e-25
16.0,3.6527495504326216e-33
17.0,7.845125468423091e-42
18.0,1.5681762302275448e-51
19.0,2.9174593591399063e-62
20.0,5.051609117324521e-74
