position,probability
1.0,6.623301720754516e-12
2.0,2.080211237014802e-06
3.0,0.008979292041533712
4.0,0.5326948714505148
5.0,0.43432686647708413
6.0,0.004866947190617397
7.0,7.495460732860329e-07
8.0,1.5865062704534098e-12
9.0,4.6151626654029296e-20
10.0,1.8451598361254338e-29
11.0,1.01387107431943e-40
12.0,7.656551942899531e-54
13.0,7.946675766878062e-69
14.0,1.1335469543102101e-85
15.0,2.2222621803106207e-104
16.0,5.987600780518644e-125
17.0,2.2172371037964086e-147
18.0,1.128426298408359e-171
19.0,7.89288946113166e-198
20.0,7.587533165382714e-226
