position,probability
1.0,6.442712093570628e-11
2.0,1.4438207899937023e-07
3.0,6.601844010790047e-05
4.0,0.006159204542025571
5.0,0.11724420767487388
6.0,0.455371206216794
7.0,0.36086697319148653
8.0,0.05834936157724893
9.0,0.0019250077449445803
10.0,1.295794864850526e-05
11.0,1.7797025747388764e-08
12.0,4.987305865530229e-12
13.0,2.851622151647827e-16
14.0,3.326789762963872e-21
15.0,7.918923253290285e-27
16.0,3.846044566822064e-33
17.0,3.811271538196572e-40
18.0,7.706068616557838e-48
19.0,3.179093145602778e-56
20.0,2.6759687316498257e-65
