position,probability
1.0,7.487857186783371e-07
2.0,0.005858566530626536
3.0,0.4996677344713868
4.0,0.4645445536931999
5.0,0.004707925327363485
6.0,5.201012355088957e-07
7.0,6.263287272614915e-13
8.0,8.221913514720737e-21
9.0,1.1765207830413304e-30
10.0,1.8351958943847076e-42
11.0,3.120479840003593e-56
12.0,5.783842522323117e-72
13.0,1.1686047978918912e-89
14.0,2.573801186598765e-109
15.0,6.179288256388608e-131
16.0,1.6171788012483937e-154
17.0,4.6135342707465246e-180
18.0,1.4347148345736443e-207
19.0,4.8635518825347945e-237
20.0,1.7972051066633417e-268
