position,probability
1.0,1.0553978984717415e-28
2.0,2.3874345358701925e-24
3.0,2.280455606178971e-20
4.0,9.19785747879173e-17
5.0,1.5664864150943754e-13
6.0,1.1265267101869992e-10
7.0,3.42082814917322e-08
8.0,4.38627568640082e-06
9.0,0.0002374846233276392
10.0,0.005429376629217939
11.0,0.05241303960618589
12.0,0.21365035926358716
13.0,0.36774164264498876
14.0,0.26727411444910926
15.0,0.08202493413072627
16.0,0.010629425312459195
17.0,0.0005816323886120338
18.0,1.3438855483574147e-05
19.0,1.3111454987138422e-07
20.0,5.40150019758711e-10
