position,probability
1.0,7.974753458821495e-54
2.0,1.510278479474965e-45
3.0,5.638870700219486e-38
4.0,4.150711731120431e-31
5.0,6.023492064723356e-25
6.0,1.7233339608540242e-19
7.0,9.720439115468161e-15
8.0,1.0809302135060004e-10
9.0,2.3697621674348376e-07
10.0,0.0001024252897903195
11.0,0.0087278038005026
12.0,0.1466216431362311
13.0,0.48560877225747484
14.0,0.3170810579639958
15.0,0.040817782541148595
16.0,0.00103591435332193
17.0,5.1831482089950985e-06
18.0,5.112799218316276e-09
19.0,9.94303991364403e-13
20.0,3.8121937175510836e-17
