position,probability
1.0,8.477564653050274e-26
2.0,2.759549493176578e-20
3.0,1.8221844448956845e-15
4.0,2.440807631336063e-11
5.0,6.63226453563625e-08
6.0,3.655755972594199e-05
7.0,0.004087705754174266
8.0,0.0927190823624312
9.0,0.42662440284665154
10.0,0.3982074053654158
11.0,0.07539803738170188
12.0,0.00289599508572037
13.0,2.256434181796094e-05
14.0,3.566437271105618e-08
15.0,1.1434931824953192e-11
16.0,7.437374318823276e-16
17.0,9.812795997359068e-21
18.0,2.6263522314836897e-26
19.0,1.4259366828459046e-32
20.0,1.5704878562937143e-39
