position,probability
1.0,1.6492289718132465e-39
2.0,2.4698592111680233e-32
3.0,6.740983431185856e-26
4.0,3.353004532593046e-20
5.0,3.039518845798016e-15
6.0,5.021521882202542e-11
7.0,1.5119091583185348e-07
8.0,8.296135850908915e-05
9.0,0.008296326429100716
10.0,0.15120133550932197
11.0,0.5022098678765758
12.0,0.3040007644627556
13.0,0.03353697820944876
14.0,0.000674268701370599
15.0,2.470596899233961e-06
16.0,1.6497973526130553e-09
17.0,2.0077939064935256e-13
18.0,4.453151602560045e-18
19.0,1.8000130270301817e-23
20.0,1.326000338833759e-29
