position,probability
1.0,5.757622747007184e-10
2.0,1.6109425843261788e-06
3.0,0.0006661721479363093
4.0,0.04071574946090434
5.0,0.36779680152268984
6.0,0.49104694759310175
7.0,0.09689639869846495
8.0,0.002825932663822888
9.0,1.2181072700645821e-05
10.0,7.760305418605634e-09
11.0,7.307042702634989e-13
12.0,1.0168901243042801e-17
13.0,2.0915871579188415e-23
14.0,6.35839430499095e-30
15.0,2.8568569782975257e-37
16.0,1.8971387480197896e-45
17.0,1.8619981385122463e-54
18.0,2.7010271110535907e-64
19.0,5.7909284232516e-75
20.0,1.8350039500550127e-86
