position,s(x)_prob_finish,s(x)_prob_no_finish,g(x)_prob_finish,g(x)_prob_no_finish,f(x)_prob_finish,f(x)_prob_no_finish
1.0,0.21052631578947367,0.19047619047619047,0.21052631578947367,0.19047619047619047,0.21052631578947367,0.19047619047619047
2.0,0.10526315789473684,0.09523809523809523,0.2631578947368421,0.23809523809523808,0.10526315789473684,0.09523809523809523
3.0,0.25,0.23809523809523808,0.1,0.09523809523809523,0.25,0.23809523809523808
4.0,0.2631578947368421,0.23809523809523808,0.2631578947368421,0.23809523809523808,0.2631578947368421,0.23809523809523808
5.0,0.2222222222222222,0.19047619047619047,0.1111111111111111,0.09523809523809523,0.2222222222222222,0.19047619047619047
6.0,0.2222222222222222,0.19047619047619047,0.2222222222222222,0.19047619047619047,0.2222222222222222,0.19047619047619047
7.0,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
8.0,0.1,0.09523809523809523,0.1,0.09523809523809523,0.1,0.09523809523809523
9.0,0.1,0.09523809523809523,0.1,0.09523809523809523,0.1,0.09523809523809523
10.0,0.1111111111111111,0.09523809523809523,0.1111111111111111,0.09523809523809523,0.05555555555555555,0.047619047619047616
11.0,0.0625,0.047619047619047616,0.125,0.09523809523809523,0.125,0.09523809523809523
12.0,0.05555555555555555,0.047619047619047616,0.05555555555555555,0.047619047619047616,0.05555555555555555,0.047619047619047616
13.0,0.10526315789473684,0.09523809523809523,0.05263157894736842,0.047619047619047616,0.0,0.0
14.0,0.2,0.14285714285714285,0.2,0.14285714285714285,0.0,0.0
15.0,0.11764705882352941,0.09523809523809523,0.058823529411764705,0.047619047619047616,0.0,0.0
16.0,0.05,0.047619047619047616,0.05,0.047619047619047616,0.05,0.047619047619047616
17.0,0.10526315789473684,0.09523809523809523,0.10526315789473684,0.09523809523809523,0.21052631578947367,0.19047619047619047
18.0,0.0625,0.047619047619047616,0.125,0.09523809523809523,0.0,0.0
19.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0
20.0,0.05555555555555555,0.047619047619047616,0.0,0.0,0.0,0.0
