position,s(x)_prob_finish,s(x)_prob_no_finish,g(x)_prob_finish,g(x)_prob_no_finish,f(x)_prob_finish,f(x)_prob_no_finish
1.0,0.8421052631578947,0.7619047619047619,0.8947368421052632,0.8095238095238095,0.8421052631578947,0.7619047619047619
2.0,0.8947368421052632,0.8095238095238095,0.8947368421052632,0.8095238095238095,0.8947368421052632,0.8095238095238095
3.0,0.9,0.8571428571428571,0.95,0.9047619047619048,0.9,0.8571428571428571
4.0,0.8421052631578947,0.7619047619047619,0.8421052631578947,0.7619047619047619,0.8421052631578947,0.7619047619047619
5.0,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.5238095238095238,0.7777777777777778,0.6666666666666666
6.0,0.7222222222222222,0.6190476190476191,0.7222222222222222,0.6190476190476191,0.7222222222222222,0.6190476190476191
7.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
8.0,0.75,0.7142857142857143,0.75,0.7142857142857143,0.55,0.5238095238095238
9.0,0.65,0.6190476190476191,0.65,0.6190476190476191,0.65,0.6190476190476191
10.0,0.7222222222222222,0.6190476190476191,0.7222222222222222,0.6190476190476191,0.3888888888888889,0.3333333333333333
11.0,0.5625,0.42857142857142855,0.5,0.38095238095238093,0.5,0.38095238095238093
12.0,0.5,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.3888888888888889,0.3333333333333333
13.0,0.631578947368421,0.5714285714285714,0.6842105263157895,0.6190476190476191,0.21052631578947367,0.19047619047619047
14.0,0.6666666666666666,0.47619047619047616,0.7333333333333333,0.5238095238095238,0.0,0.0
15.0,0.5882352941176471,0.47619047619047616,0.4117647058823529,0.3333333333333333,0.17647058823529413,0.14285714285714285
16.0,0.6,0.5714285714285714,0.75,0.7142857142857143,0.3,0.2857142857142857
17.0,0.3157894736842105,0.2857142857142857,0.631578947368421,0.5714285714285714,0.631578947368421,0.5714285714285714
18.0,0.625,0.47619047619047616,0.75,0.5714285714285714,0.8125,0.6190476190476191
19.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
20.0,0.4444444444444444,0.38095238095238093,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.09523809523809523
