driver,fp3_pos,race_pos
Max  Verstappen  VER,1,3
Lando  Norris  NOR,3,7
Valtteri  Bottas  BOT,4,1
Lewis  Hamilton  HAM,5,2
Alexander  Albon  ALB,6,5
Carlos  Sainz  SAI,7,8
Kimi  Räikkönen  RAI,8,11
Pierre  Gasly  GAS,9,16
Daniel  Ricciardo  RIC,10,6
Nico  Hulkenberg  HUL,11,9
Lance  Stroll  STR,12,13
Romain  Grosjean  GRO,13,15
Daniil  Kvyat  KVY,14,12
Kevin  Magnussen  MAG,15,18
Antonio  Giovinazzi  GIO,16,14
George  Russell  RUS,17,17
Sergio  Perez  PER,19,10
Charles  Leclerc  LEC,20,4
