driver,fp3_pos,race_pos
Charles  Leclerc  LEC,1,3
Sebastian  Vettel  VET,2,5
Lewis  Hamilton  HAM,3,1
Valtteri  Bottas  BOT,4,2
Nico  Hulkenberg  HUL,6,17
Lando  Norris  NOR,7,6
Max  Verstappen  VER,8,4
Carlos  Sainz  SAI,9,19
Daniil  Kvyat  KVY,10,12
Kimi  Räikkönen  RAI,11,7
Pierre  Gasly  GAS,12,8
Kevin  Magnussen  MAG,13,13
Lance  Stroll  STR,14,14
Sergio  Perez  PER,15,10
Daniel  Ricciardo  RIC,16,18
Alexander  Albon  ALB,17,9
Antonio  Giovinazzi  GIO,18,11
George  Russell  RUS,19,15
Robert  Kubica  KUB,20,16
