driver,fp3_pos,race_pos
Charles  Leclerc  LEC,1,5
Sebastian  Vettel  VET,2,3
Max  Verstappen  VER,3,4
Valtteri  Bottas  BOT,4,1
Lewis  Hamilton  HAM,5,2
Kevin  Magnussen  MAG,7,13
Alexander  Albon  ALB,8,11
Sergio  Perez  PER,9,6
Kimi  Räikkönen  RAI,10,10
Antonio  Giovinazzi  GIO,12,12
Lando  Norris  NOR,13,8
Carlos  Sainz  SAI,14,7
Lance  Stroll  STR,15,9
Nico  Hulkenberg  HUL,16,14
Robert  Kubica  KUB,18,16
George  Russell  RUS,19,15
