driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,2
Charles  Leclerc  LEC,2,3
Lewis  Hamilton  HAM,3,1
Valtteri  Bottas  BOT,4,4
Max  Verstappen  VER,5,5
Pierre  Gasly  GAS,6,8
Daniel  Ricciardo  RIC,7,6
Sergio  Perez  PER,9,12
Daniil  Kvyat  KVY,10,10
Nico  Hulkenberg  HUL,11,7
Kevin  Magnussen  MAG,12,17
Carlos  Sainz  SAI,13,11
Antonio  Giovinazzi  GIO,15,13
Kimi  Räikkönen  RAI,16,15
Romain  Grosjean  GRO,17,14
George  Russell  RUS,18,16
Robert  Kubica  KUB,19,18
Lance  Stroll  STR,20,9
