driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,13
Max  Verstappen  VER,2,8
Valtteri  Bottas  BOT,3,2
Charles  Leclerc  LEC,4,1
Daniel  Ricciardo  RIC,5,4
Lewis  Hamilton  HAM,6,3
Nico  Hulkenberg  HUL,7,5
Alexander  Albon  ALB,8,6
Antonio  Giovinazzi  GIO,9,9
Sergio  Perez  PER,12,7
Pierre  Gasly  GAS,13,11
Lando  Norris  NOR,14,10
Kimi  Räikkönen  RAI,15,15
Romain  Grosjean  GRO,17,16
Lance  Stroll  STR,18,12
George  Russell  RUS,19,14
Robert  Kubica  KUB,20,17
