driver,fp3_pos,race_pos
Lewis  Hamilton  HAM,1,7
Max  Verstappen  VER,2,1
Charles  Leclerc  LEC,3,18
Sebastian  Vettel  VET,4,17
Alexander  Albon  ALB,5,14
Daniil  Kvyat  KVY,7,10
Antonio  Giovinazzi  GIO,8,5
Lando  Norris  NOR,9,8
Carlos  Sainz  SAI,10,3
Kimi  Räikkönen  RAI,11,4
Pierre  Gasly  GAS,12,2
Nico  Hulkenberg  HUL,13,15
Kevin  Magnussen  MAG,14,11
Daniel  Ricciardo  RIC,15,6
Romain  Grosjean  GRO,16,13
Sergio  Perez  PER,17,9
Lance  Stroll  STR,18,19
George  Russell  RUS,19,12
Robert  Kubica  KUB,20,16
