driver,fp3_pos,race_pos
Charles  Leclerc  LEC,1,1
Sebastian  Vettel  VET,2,4
Valtteri  Bottas  BOT,3,3
Daniel  Ricciardo  RIC,4,14
Sergio  Perez  PER,6,6
Lewis  Hamilton  HAM,7,2
Kimi  Räikkönen  RAI,8,16
Antonio  Giovinazzi  GIO,9,18
Pierre  Gasly  GAS,10,9
Romain  Grosjean  GRO,11,13
Nico  Hulkenberg  HUL,12,8
Kevin  Magnussen  MAG,13,12
Lando  Norris  NOR,15,11
Lance  Stroll  STR,16,10
Daniil  Kvyat  KVY,17,7
George  Russell  RUS,18,15
Robert  Kubica  KUB,19,17
Alexander  Albon  ALB,20,5
