driver,fp3_pos,race_pos
Lewis  Hamilton  HAM,1,1
Charles  Leclerc  LEC,2,5
Valtteri  Bottas  BOT,3,2
Sebastian  Vettel  VET,4,4
Romain  Grosjean  GRO,5,10
Kevin  Magnussen  MAG,6,7
Max  Verstappen  VER,7,3
Alexander  Albon  ALB,8,11
Kimi  Räikkönen  RAI,9,14
Carlos  Sainz  SAI,10,8
Daniil  Kvyat  KVY,11,9
Nico  Hulkenberg  HUL,12,13
Sergio  Perez  PER,13,15
Pierre  Gasly  GAS,14,6
Antonio  Giovinazzi  GIO,16,16
Daniel  Ricciardo  RIC,17,12
George  Russell  RUS,19,17
Robert  Kubica  KUB,20,18
