driver,fp3_pos,race_pos
Max  Verstappen  VER,2,1
Sebastian  Vettel  VET,3,2
Kevin  Magnussen  MAG,5,8
Lewis  Hamilton  HAM,6,9
Carlos  Sainz  SAI,7,5
Pierre  Gasly  GAS,8,14
Kimi  Räikkönen  RAI,9,12
Romain  Grosjean  GRO,10,7
Alexander  Albon  ALB,13,6
Antonio  Giovinazzi  GIO,15,13
Lance  Stroll  STR,16,4
Daniil  Kvyat  KVY,17,3
Robert  Kubica  KUB,19,10
George  Russell  RUS,20,11
