driver,fp3_pos,race_pos
Max  Verstappen  VER,1,2
Lewis  Hamilton  HAM,2,1
Valtteri  Bottas  BOT,3,4
Alexander  Albon  ALB,4,6
Sebastian  Vettel  VET,5,5
Charles  Leclerc  LEC,6,3
Sergio  Perez  PER,7,7
Daniel  Ricciardo  RIC,8,11
Carlos  Sainz  SAI,9,10
Pierre  Gasly  GAS,10,18
Romain  Grosjean  GRO,11,15
Daniil  Kvyat  KVY,12,9
Lando  Norris  NOR,13,8
Kevin  Magnussen  MAG,14,14
Kimi  Räikkönen  RAI,16,13
Nico  Hulkenberg  HUL,17,12
Antonio  Giovinazzi  GIO,18,16
George  Russell  RUS,19,17
Robert  Kubica  KUB,20,19
