driver,fp3_pos,race_pos
Charles  Leclerc  LEC,1,2
Lewis  Hamilton  HAM,2,5
Valtteri  Bottas  BOT,3,3
Sebastian  Vettel  VET,4,4
Max  Verstappen  VER,5,1
Lando  Norris  NOR,6,6
Pierre  Gasly  GAS,7,7
Carlos  Sainz  SAI,8,8
Antonio  Giovinazzi  GIO,9,10
Daniil  Kvyat  KVY,10,17
Alexander  Albon  ALB,11,15
Nico  Hulkenberg  HUL,12,13
Kimi  Räikkönen  RAI,13,9
Sergio  Perez  PER,14,11
Romain  Grosjean  GRO,15,16
Lance  Stroll  STR,16,14
Daniel  Ricciardo  RIC,17,12
Kevin  Magnussen  MAG,18,19
George  Russell  RUS,19,18
Robert  Kubica  KUB,20,20
