driver,fp3_pos,race_pos
Charles  Leclerc  LEC,1,3
Lewis  Hamilton  HAM,3,1
Valtteri  Bottas  BOT,4,2
Max  Verstappen  VER,5,4
Alexander  Albon  ALB,7,5
Nico  Hulkenberg  HUL,8,10
Lando  Norris  NOR,9,8
Kevin  Magnussen  MAG,10,9
Pierre  Gasly  GAS,11,14
Carlos  Sainz  SAI,13,6
Antonio  Giovinazzi  GIO,14,15
Sergio  Perez  PER,15,7
Lance  Stroll  STR,16,11
Kimi  Räikkönen  RAI,17,13
Daniil  Kvyat  KVY,19,12
