driver,fp3_pos,race_pos
Lewis  Hamilton  HAM,1,2
Sebastian  Vettel  VET,2,4
Charles  Leclerc  LEC,3,5
Kevin  Magnussen  MAG,5,6
Pierre  Gasly  GAS,6,11
Valtteri  Bottas  BOT,7,1
Daniil  Kvyat  KVY,8,10
Max  Verstappen  VER,9,3
Nico  Hulkenberg  HUL,11,7
Antonio  Giovinazzi  GIO,12,15
Sergio  Perez  PER,14,13
Alexander  Albon  ALB,15,14
Lance  Stroll  STR,16,9
Kimi  Räikkönen  RAI,17,8
Lando  Norris  NOR,18,12
George  Russell  RUS,19,16
Robert  Kubica  KUB,20,17
