driver,fp3_pos,race_pos
Valtteri  Bottas  BOT,1,2
Lewis  Hamilton  HAM,2,1
Charles  Leclerc  LEC,3,3
Sebastian  Vettel  VET,4,5
Max  Verstappen  VER,5,4
Pierre  Gasly  GAS,6,10
Lando  Norris  NOR,7,9
Daniel  Ricciardo  RIC,8,11
Carlos  Sainz  SAI,9,6
Kimi  Räikkönen  RAI,10,7
Nico  Hulkenberg  HUL,11,8
Antonio  Giovinazzi  GIO,12,16
Alexander  Albon  ALB,13,15
Kevin  Magnussen  MAG,15,17
Sergio  Perez  PER,16,12
Daniil  Kvyat  KVY,17,14
Lance  Stroll  STR,18,13
Robert  Kubica  KUB,19,18
George  Russell  RUS,20,19
