driver,fp3_pos,race_pos
Lewis  Hamilton  HAM,1,1
Max  Verstappen  VER,2,2
Sebastian  Vettel  VET,3,3
Valtteri  Bottas  BOT,4,8
Charles  Leclerc  LEC,5,4
Pierre  Gasly  GAS,6,6
Lando  Norris  NOR,7,9
Kimi  Räikkönen  RAI,8,7
Carlos  Sainz  SAI,9,5
Kevin  Magnussen  MAG,10,13
Daniil  Kvyat  KVY,12,15
Nico  Hulkenberg  HUL,13,12
Sergio  Perez  PER,14,11
Antonio  Giovinazzi  GIO,15,18
Daniel  Ricciardo  RIC,16,14
Alexander  Albon  ALB,17,10
George  Russell  RUS,18,16
Lance  Stroll  STR,19,17
Robert  Kubica  KUB,20,19
