driver,fp3_pos,race_pos
Charles  Leclerc  LEC,1,4
Sebastian  Vettel  VET,2,2
Valtteri  Bottas  BOT,3,3
Lewis  Hamilton  HAM,4,1
Carlos  Sainz  SAI,5,13
Max  Verstappen  VER,6,6
Pierre  Gasly  GAS,7,9
Alexander  Albon  ALB,8,5
Sergio  Perez  PER,10,7
Daniil  Kvyat  KVY,11,11
Lance  Stroll  STR,13,12
Antonio  Giovinazzi  GIO,14,14
Kevin  Magnussen  MAG,15,15
Romain  Grosjean  GRO,16,17
George  Russell  RUS,17,16
Robert  Kubica  KUB,18,18
Nico  Hulkenberg  HUL,19,10
