driver,fp3_pos,race_pos
Valtteri  Bottas  BOT,1,1
Lewis  Hamilton  HAM,2,3
Charles  Leclerc  LEC,4,6
Sebastian  Vettel  VET,5,2
Alexander  Albon  ALB,6,4
Carlos  Sainz  SAI,7,5
Sergio  Perez  PER,8,8
Pierre  Gasly  GAS,9,7
Lando  Norris  NOR,10,11
Kimi  Räikkönen  RAI,11,12
Daniil  Kvyat  KVY,12,10
Romain  Grosjean  GRO,13,13
Lance  Stroll  STR,14,9
Antonio  Giovinazzi  GIO,15,14
Kevin  Magnussen  MAG,16,15
Robert  Kubica  KUB,19,17
George  Russell  RUS,20,16
