std_increments,aprox_pos,probability
-3.0,8.90585141354372,0.005782490078826802
-2.9,8.982493973263203,0.00776661484371417
-2.8,9.059136532982686,0.010327749506215702
-2.6999999999999997,9.135779092702169,0.013596799027281907
-2.5999999999999996,9.212421652421652,0.017722489023592435
-2.4999999999999996,9.289064212141135,0.022870191911287103
-2.3999999999999995,9.365706771860618,0.0292194446229464
-2.2999999999999994,9.4423493315801,0.036959931721070066
-2.1999999999999993,9.518991891299583,0.04628576208319631
-2.099999999999999,9.595634451019066,0.05738795277899161
-1.9999999999999991,9.672277010738549,0.07044515046313549
-1.899999999999999,9.748919570458032,0.08561276530277072
-1.799999999999999,9.825562130177515,0.10301085792261826
-1.6999999999999988,9.902204689896998,0.12271129477031217
-1.5999999999999988,9.97884724961648,0.14472485664027124
-1.4999999999999987,10.055489809335963,0.16898913102581062
-1.3999999999999986,10.132132369055446,0.19535812241104455
-1.2999999999999985,10.208774928774929,0.22359455722124738
-1.1999999999999984,10.285417488494412,0.2533658266294185
-1.0999999999999983,10.362060048213895,0.28424439088400144
-0.9999999999999982,10.438702607933378,0.31571326088895485
-0.8999999999999981,10.51534516765286,0.34717688301727667
-0.799999999999998,10.591987727372343,0.3779773977040625
-0.699999999999998,10.668630287091826,0.40741584637782613
-0.5999999999999979,10.745272846811309,0.4347774971392209
-0.4999999999999978,10.821915406530792,0.4593600840745454
-0.3999999999999977,10.898557966250275,0.480503445671985
-0.2999999999999976,10.975200525969758,0.4976188384840366
-0.1999999999999975,11.05184308568924,0.5102161193554862
-0.09999999999999742,11.128485645408723,0.5179270485352869
2.6645352591003757e-15,11.205128205128206,0.5205231686697179
0.10000000000000275,11.281770764847689,0.5179270485352866
0.20000000000000284,11.358413324567172,0.5102161193554856
0.30000000000000293,11.435055884286655,0.49761883848403593
0.400000000000003,11.511698444006138,0.48050344567198405
0.5000000000000031,11.58834100372562,0.4593600840745444
0.6000000000000032,11.664983563445103,0.4347774971392197
0.7000000000000033,11.741626123164586,0.4074158463778248
0.8000000000000034,11.818268682884069,0.37797739770406114
0.9000000000000035,11.894911242603552,0.34717688301727523
1.0000000000000036,11.971553802323035,0.3157132608889534
1.1000000000000032,12.048196362042518,0.284244390884
1.2000000000000037,12.124838921762,0.25336582662941703
1.3000000000000043,12.201481481481483,0.22359455722124605
1.400000000000004,12.278124041200966,0.19535812241104325
1.5000000000000036,12.354766600920449,0.16898913102580948
1.600000000000004,12.431409160639932,0.14472485664027018
1.7000000000000046,12.508051720359415,0.12271129477031122
1.8000000000000043,12.584694280078898,0.10301085792261742
1.900000000000004,12.66133683979838,0.08561276530276996
2.0000000000000044,12.737979399517863,0.07044515046313485
2.100000000000005,12.814621959237346,0.05738795277899108
2.2000000000000046,12.89126451895683,0.04628576208319586
2.3000000000000043,12.967907078676312,0.03695993172106969
2.400000000000005,13.044549638395795,0.02921944462294609
2.5000000000000053,13.121192198115278,0.022870191911286843
2.600000000000005,13.19783475783476,0.01772248902359223
2.7000000000000046,13.274477317554243,0.013596799027281744
2.800000000000005,13.351119877273726,0.010327749506215572
2.9000000000000057,13.42776243699321,0.007766614843714068
3.0000000000000053,13.504404996712692,0.005782490078826725
