race_no,pearson_corr,p_value
898.0,0.6472895150030046,0.022880760788373457
899.0,0.8253409276843306,0.0005124012860758636
900.0,0.6612214441429987,0.007269752996232635
901.0,0.39445126923364005,0.10526558398904173
902.0,0.6801470039983426,0.0013540449935617845
903.0,0.7306957704626531,0.006948888402497013
904.0,0.26075129277733117,0.3895401722244527
905.0,0.8981922576271157,9.845979296080956e-07
906.0,0.29707714971760524,0.26383214125354887
907.0,0.8666471550646601,1.4031863504027429e-05
908.0,0.7697935110323133,0.0007893796499858763
909.0,0.8773183464077771,3.7455619130161305e-06
910.0,0.8349750218341968,1.6251501220383002e-05
911.0,0.8332904978624665,0.00011417083813645263
912.0,0.7605568896410655,0.00024806279585012377
913.0,0.6506000876076181,0.0034587185342737285
914.0,0.7558390939451345,0.0011155559522213465
915.0,0.7868246232832816,0.00017877304720064586
916.0,0.6326917810733325,0.006416606034021294
917.0,0.8694110512507109,0.0005078643469447307
918.0,0.9202969661338003,1.1723984353582716e-06
919.0,0.722508825382694,0.0010526953116120484
920.0,0.6890681294209102,0.0022168202878045376
921.0,0.8826855204970929,1.2408280553618146e-06
922.0,0.8871662490696838,2.059872507844862e-06
923.0,0.4265093249208687,0.08777264864301033
924.0,0.8115133928877301,0.0004255809207368497
925.0,0.9090293007724897,1.676644310772803e-05
927.0,0.7718584975619928,0.0004603304993166271
928.0,0.687918488035816,0.0032237096483843306
929.0,0.5625223091579773,0.015091954953051328
930.0,0.8600857968177,3.912326470439065e-05
931.0,0.6406015037593984,0.002342270858482581
932.0,0.5240811720932786,0.04492567075874574
933.0,0.5142952560301846,0.08714371307217292
934.0,0.8910177760531688,3.6541578269935965e-06
935.0,0.9289747213007937,2.6016689875127995e-08
936.0,0.8607602036246969,2.249667690103376e-06
938.0,0.611388999928195,0.015447219708624416
939.0,0.8407705571875845,8.634531177631241e-05
940.0,-0.17038416315026303,0.49907127946717017
941.0,0.7735583245307174,0.0004389997737106332
942.0,0.8932166156569111,7.339354038338375e-06
943.0,0.7990193535541446,0.0010506467775975702
944.0,0.8672940951232112,6.549123160384e-06
945.0,0.44704350849162844,0.06288411594284099
946.0,0.6799822943203574,0.002670562864150812
947.0,0.8312481009714519,1.0371278332551415e-05
948.0,0.8263696393553146,2.3714485000414775e-05
949.0,0.7988784828072091,0.00020583826899083798
950.0,0.9420683179142136,1.6339797089197715e-08
951.0,0.8512361221363741,2.890438537913159e-05
952.0,0.861022294012024,7.659158658055041e-05
953.0,0.7650571296630662,0.00013559497949157582
954.0,0.7027391211524143,0.0023969000764790215
955.0,0.8848933549639231,4.859513095202218e-07
956.0,0.7404206607392805,0.001594578462842564
957.0,0.8450346314076783,3.78092266800034e-05
958.0,0.8097401337692243,0.0001439378843372471
959.0,0.7472737722974032,0.003325366908800168
960.0,0.6623070921084587,0.007140898792425642
961.0,0.785760676968112,0.0008643623700260307
962.0,0.8477155678455509,3.3713182554394765e-05
963.0,0.6050804452531621,0.013012149438016572
964.0,0.7610033980485262,0.0009841185968215754
965.0,0.7570526598280801,0.0006848651051177516
966.0,0.5157402583862845,0.059064740315942034
967.0,0.7314726650313702,0.0012808218692637247
968.0,0.8522684758627046,1.398682154485421e-05
969.0,0.7772709347379081,0.000241024500461818
970.0,0.6817806206225002,0.002575214627763325
971.0,-0.2429282859006026,0.33138844470517226
972.0,0.7711616669421646,0.0033163181569626768
973.0,0.9195045246022411,6.869341589362284e-08
974.0,0.6332887375639407,0.011263350036926656
975.0,0.8834799179888174,5.716151398323433e-06
976.0,0.829041108935705,0.00013301388729123652
977.0,0.9036530467610392,1.5965613208096531e-06
978.0,0.9033581953287666,2.8146700392695535e-07
979.0,0.6653964924064826,0.00678402645213446
980.0,0.6421568627450981,0.005445541252413795
981.0,0.6676691729323307,0.00129679234998989
982.0,0.4237902643756184,0.131024822717435
983.0,0.9018272462888923,1.0429740453174686e-05
984.0,0.6339534483323629,0.003559858465205342
985.0,0.7561690377971044,0.0004445356252857385
986.0,-0.062183887308005274,0.8125868523171904
987.0,0.8261226577841707,0.00014738032064890347
988.0,0.6950618210288828,0.004022477082946071
989.0,-0.3687920365953452,0.15983153078454843
990.0,0.8848638605273276,2.380285988074759e-06
991.0,0.946783130749991,9.056629582368475e-08
992.0,0.705878608254035,0.0022460757895537064
993.0,0.7002740128303802,0.0008419089403929614
994.0,0.9196512289118507,6.773018001004348e-08
995.0,0.8685669364791331,6.115973281177808e-06
996.0,0.8360496108521994,0.00019502384561836258
997.0,0.7342016134682356,0.001202028308203542
998.0,0.8324114021590202,1.8227891057120813e-05
999.0,0.9400877146627434,1.924907835881424e-07
