position,mean_finish_position,std_finish_position,race_amount,cl_var_finish_position
1.0,2.6818181818181817,2.520576478729413,19.0,0.3343845150065246
2.0,3.4838709677419355,2.9896340741517466,19.0,0.47041641564890374
3.0,4.318181818181818,3.4822454045990554,20.0,0.606301652892562
4.0,4.4523809523809526,3.0292414652640822,19.0,0.4829633607829097
5.0,5.651162790697675,3.6080254274501855,18.0,0.7232137491737274
6.0,6.353658536585366,3.7785400175055104,18.0,0.7931869257716968
7.0,8.225,3.784755606376718,21.0,0.682113095238095
8.0,8.094117647058823,3.6026902673737795,20.0,0.6489688581314877
9.0,9.156626506024097,3.1755160009910894,20.0,0.504195093627522
10.0,9.180555555555555,3.5131751580810806,18.0,0.6856888717421126
11.0,9.45679012345679,3.5591973804481363,16.0,0.7917428745618047
12.0,10.417721518987342,4.070914415166804,18.0,0.9206857875340491
13.0,10.041666666666666,3.2678463006151994,19.0,0.5620431286549707
14.0,11.205128205128204,3.390631793327376,15.0,0.766425597194828
15.0,11.058823529411764,3.3645310526360506,17.0,0.6658864237736618
16.0,11.77027027027027,3.7037136122476553,20.0,0.6858747260774287
17.0,13.234567901234568,3.21751228546494,19.0,0.5448623845851485
18.0,13.2375,3.543457880376173,16.0,0.784755859375
19.0,14.012987012987013,3.6909630126662467,21.0,0.6487241886128713
20.0,13.12987012987013,4.4029230236247505,18.0,1.076985063998051
