driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,1
Kimi  Räikkönen  RAI,2,2
Valtteri  Bottas  BOT,3,3
Max  Verstappen  VER,4,5
Lewis  Hamilton  HAM,5,4
Stoffel  Vandoorne  VAN,6,10
Nico  Hulkenberg  HUL,7,17
Fernando  Alonso  ALO,9,6
Jolyon  Palmer  PAL,10,12
Carlos  Sainz  SAI,11,7
Esteban  Ocon  OCO,12,9
Daniil  Kvyat  KVY,13,11
Sergio  Perez  PER,14,8
Kevin  Magnussen  MAG,16,13
Lance  Stroll  STR,18,14
Pascal  Wehrlein  WEH,19,15
Marcus  Ericsson  ERI,20,16
