driver,fp3_pos,race_pos
Nico  Rosberg  ROS,1,1
Lewis  Hamilton  HAM,2,2
Sebastian  Vettel  VET,3,4
Sergio  Perez  PER,4,5
Kimi  Räikkönen  RAI,5,3
Daniel  Ricciardo  RIC,6,6
Nico  Hulkenberg  HUL,7,7
Felipe  Massa  MAS,8,8
Valtteri  Bottas  BOT,9,13
Carlos  Sainz  SAI,10,11
Jenson  Button  BUT,11,12
Felipe  Nasr  NAS,13,15
Max  Verstappen  VER,14,16
Romain  Grosjean  GRO,15,9
Fernando  Alonso  ALO,16,17
Marcus  Ericsson  ERI,17,14
Will  Stevens  STE,18,18
Roberto  Merhi  MER,19,19
Daniil  Kvyat  KVY,20,10
