driver,fp3_pos,race_pos
Daniel  Ricciardo  RIC,2,3
Lewis  Hamilton  HAM,4,1
Nico  Rosberg  ROS,5,2
Sebastian  Vettel  VET,6,4
Valtteri  Bottas  BOT,8,16
Jenson  Button  BUT,9,9
Fernando  Alonso  ALO,10,5
Sergio  Perez  PER,11,8
Jolyon  Palmer  PAL,12,13
Felipe  Massa  MAS,13,7
Daniil  Kvyat  KVY,14,11
Carlos  Sainz  SAI,15,6
Romain  Grosjean  GRO,17,10
Kevin  Magnussen  MAG,18,12
Marcus  Ericsson  ERI,19,14
Felipe  Nasr  NAS,20,15
