driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,1
Kimi  Räikkönen  RAI,2,2
Valtteri  Bottas  BOT,3,4
Max  Verstappen  VER,4,5
Lewis  Hamilton  HAM,5,7
Daniel  Ricciardo  RIC,6,3
Carlos  Sainz  SAI,7,6
Daniil  Kvyat  KVY,8,14
Kevin  Magnussen  MAG,9,10
Sergio  Perez  PER,11,13
Esteban  Ocon  OCO,13,12
Felipe  Massa  MAS,14,9
Romain  Grosjean  GRO,16,8
Lance  Stroll  STR,17,15
Jolyon  Palmer  PAL,18,11
