driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,4
Lewis  Hamilton  HAM,2,1
Kimi  Räikkönen  RAI,3,2
Valtteri  Bottas  BOT,5,14
Sergio  Perez  PER,6,3
Kevin  Magnussen  MAG,7,13
Lance  Stroll  STR,8,8
Fernando  Alonso  ALO,11,7
Pierre  Gasly  GAS,13,12
Charles  Leclerc  LEC,14,6
Carlos  Sainz  SAI,16,5
Stoffel  Vandoorne  VAN,18,9
Marcus  Ericsson  ERI,19,11
Brendon  Hartley  HAR,20,10
