driver,fp3_pos,race_pos
Nico  Rosberg  ROS,1,2
Lewis  Hamilton  HAM,2,1
Kimi  Räikkönen  RAI,3,12
Sebastian  Vettel  VET,4,3
Nico  Hulkenberg  HUL,5,5
Fernando  Alonso  ALO,7,4
Felipe  Massa  MAS,8,7
Valtteri  Bottas  BOT,9,8
Daniil  Kvyat  KVY,11,10
Romain  Grosjean  GRO,15,11
Max  Chilton  CHI,17,15
Marcus  Ericsson  ERI,19,14
Kamui  Kobayashi  KOB,20,13
