driver,fp3_pos,race_pos
Nico  Rosberg  ROS,1,2
Lewis  Hamilton  HAM,2,1
Fernando  Alonso  ALO,3,6
Felipe  Massa  MAS,4,13
Romain  Grosjean  GRO,5,8
Kevin  Magnussen  MAG,6,12
Daniel  Ricciardo  RIC,7,3
Jenson  Button  BUT,8,11
Pastor  Maldonado  MAL,9,15
Sebastian  Vettel  VET,10,4
Valtteri  Bottas  BOT,11,5
Daniil  Kvyat  KVY,13,14
Kimi  Räikkönen  RAI,14,7
Sergio  Perez  PER,15,9
Nico  Hulkenberg  HUL,16,10
Adrian  Sutil  SUT,17,17
Esteban  Gutierrez GUT,18,16
Max  Chilton  CHI,19,19
Jules  Bianchi  BIA,20,18
