driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,3
Kimi  Räikkönen  RAI,2,5
Lewis  Hamilton  HAM,3,1
Valtteri  Bottas  BOT,4,4
Daniel  Ricciardo  RIC,5,6
Max  Verstappen  VER,6,2
Romain  Grosjean  GRO,7,15
Sergio  Perez  PER,9,16
Fernando  Alonso  ALO,10,7
Nico  Hulkenberg  HUL,11,10
Kevin  Magnussen  MAG,12,18
Carlos  Sainz  SAI,13,8
Pierre  Gasly  GAS,14,13
Stoffel  Vandoorne  VAN,15,12
Charles  Leclerc  LEC,16,9
Brendon  Hartley  HAR,17,17
Sergey  Sirotkin  SIR,18,19
Marcus  Ericsson  ERI,19,11
Lance  Stroll  STR,20,14
