driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,1
Kimi  Räikkönen  RAI,2,3
Daniil  Kvyat  KVY,3,6
Daniel  Ricciardo  RIC,4,2
Nico  Rosberg  ROS,6,4
Carlos  Sainz  SAI,8,9
Max  Verstappen  VER,9,8
Marcus  Ericsson  ERI,10,11
Valtteri  Bottas  BOT,11,5
Pastor  Maldonado  MAL,15,12
Sergio  Perez  PER,16,7
Romain  Grosjean  GRO,17,13
Felipe  Nasr  NAS,18,10
Alexander  Rossi  RSI,19,14
Will  Stevens  STE,20,15
