driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,2
Kimi  Räikkönen  RAI,2,3
Valtteri  Bottas  BOT,3,1
Lewis  Hamilton  HAM,4,4
Max  Verstappen  VER,5,5
Felipe  Massa  MAS,6,9
Nico  Hulkenberg  HUL,7,8
Carlos  Sainz  SAI,9,10
Kevin  Magnussen  MAG,10,13
Lance  Stroll  STR,11,11
Esteban  Ocon  OCO,12,7
Daniil  Kvyat  KVY,13,12
Sergio  Perez  PER,15,6
Stoffel  Vandoorne  VAN,17,14
Marcus  Ericsson  ERI,18,15
Pascal  Wehrlein  WEH,19,16
