driver,fp3_pos,race_pos
Valtteri  Bottas  BOT,1,3
Daniel  Ricciardo  RIC,2,1
Nico  Rosberg  ROS,3,2
Kimi  Räikkönen  RAI,4,4
Fernando  Alonso  ALO,6,7
Daniil  Kvyat  KVY,7,9
Jenson  Button  BUT,8,6
Felipe  Massa  MAS,9,13
Jean-Eric  Vergne  VER,10,11
Sergio  Perez  PER,11,8
Kevin  Magnussen  MAG,12,12
Sebastian  Vettel  VET,13,5
Nico  Hulkenberg  HUL,14,10
Adrian  Sutil  SUT,15,14
Esteban  Gutierrez GUT,18,15
Jules  Bianchi  BIA,19,18
Max  Chilton  CHI,20,16
