driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,2
Nico  Rosberg  ROS,2,1
Lewis  Hamilton  HAM,3,3
Daniel  Ricciardo  RIC,4,5
Carlos  Sainz  SAI,5,10
Kimi  Räikkönen  RAI,6,6
Daniil  Kvyat  KVY,7,4
Jenson  Button  BUT,8,8
Romain  Grosjean  GRO,10,12
Sergio  Perez  PER,11,7
Nico  Hulkenberg  HUL,13,11
Valtteri  Bottas  BOT,15,14
Felipe  Massa  MAS,16,15
Felipe  Nasr  NAS,17,9
Marcus  Ericsson  ERI,18,13
Will  Stevens  STE,19,17
Roberto  Merhi  MER,20,16
