driver,fp3_pos,race_pos
Nico  Rosberg  ROS,1,2
Max  Verstappen  VER,2,5
Daniel  Ricciardo  RIC,3,3
Lewis  Hamilton  HAM,4,1
Kimi  Räikkönen  RAI,5,6
Sebastian  Vettel  VET,6,4
Fernando  Alonso  ALO,7,7
Valtteri  Bottas  BOT,8,9
Sergio  Perez  PER,9,11
Jolyon  Palmer  PAL,10,12
Felipe  Massa  MAS,11,18
Kevin  Magnussen  MAG,12,15
Esteban  Gutierrez GUT,14,13
Romain  Grosjean  GRO,15,14
Carlos  Sainz  SAI,16,8
Nico  Hulkenberg  HUL,17,10
Daniil  Kvyat  KVY,18,16
Felipe  Nasr  NAS,19,17
Marcus  Ericsson  ERI,20,20
