driver,fp3_pos,race_pos
Sebastian  Vettel  VET,1,4
Kimi  Räikkönen  RAI,2,1
Lewis  Hamilton  HAM,3,3
Valtteri  Bottas  BOT,4,5
Max  Verstappen  VER,5,2
Sergio  Perez  PER,8,8
Carlos  Sainz  SAI,9,7
Pierre  Gasly  GAS,12,12
Nico  Hulkenberg  HUL,14,6
Marcus  Ericsson  ERI,15,10
Lance  Stroll  STR,16,14
Sergey  Sirotkin  SIR,17,13
Stoffel  Vandoorne  VAN,18,11
Brendon  Hartley  HAR,19,9
