driver,fp3_pos,race_pos
Daniel  Ricciardo  RIC,1,1
Max  Verstappen  VER,2,9
Sebastian  Vettel  VET,3,2
Kimi  Räikkönen  RAI,4,4
Lewis  Hamilton  HAM,5,3
Valtteri  Bottas  BOT,6,5
Brendon  Hartley  HAR,7,19
Pierre  Gasly  GAS,8,7
Carlos  Sainz  SAI,9,10
Sergey  Sirotkin  SIR,10,16
Stoffel  Vandoorne  VAN,11,14
Esteban  Ocon  OCO,12,6
Sergio  Perez  PER,13,12
Nico  Hulkenberg  HUL,14,8
Lance  Stroll  STR,16,17
Charles  Leclerc  LEC,17,18
Romain  Grosjean  GRO,18,15
Kevin  Magnussen  MAG,19,13
Marcus  Ericsson  ERI,20,11
