driver,fp3_pos,race_pos
Nico  Rosberg  ROS,1,1
Daniel  Ricciardo  RIC,2,6
Sebastian  Vettel  VET,3,4
Max  Verstappen  VER,4,2
Kimi  Räikkönen  RAI,5,5
Felipe  Massa  MAS,6,9
Lewis  Hamilton  HAM,7,3
Jolyon  Palmer  PAL,8,12
Kevin  Magnussen  MAG,9,14
Nico  Hulkenberg  HUL,10,8
Fernando  Alonso  ALO,11,16
Esteban  Gutierrez GUT,12,20
Valtteri  Bottas  BOT,13,10
Sergio  Perez  PER,14,7
Daniil  Kvyat  KVY,15,13
Romain  Grosjean  GRO,16,11
Felipe  Nasr  NAS,17,19
Marcus  Ericsson  ERI,18,15
Jenson  Button  BUT,19,18
