driver,fp3_pos,race_pos
Lewis  Hamilton  HAM,1,5
Nico  Rosberg  ROS,2,1
Nico  Hulkenberg  HUL,3,9
Daniel  Ricciardo  RIC,4,7
Sebastian  Vettel  VET,5,2
Sergio  Perez  PER,6,3
Max  Verstappen  VER,7,8
Jenson  Button  BUT,8,11
Kimi  Räikkönen  RAI,10,4
Romain  Grosjean  GRO,13,13
Felipe  Massa  MAS,14,10
Esteban  Gutierrez GUT,15,16
Kevin  Magnussen  MAG,16,14
Jolyon  Palmer  PAL,18,15
Marcus  Ericsson  ERI,19,17
Felipe  Nasr  NAS,20,12
