driver,fp3_pos,race_pos
Lewis  Hamilton  HAM,1,2
Kimi  Räikkönen  RAI,2,3
Valtteri  Bottas  BOT,3,4
Sebastian  Vettel  VET,4,1
Max  Verstappen  VER,5,15
Daniel  Ricciardo  RIC,6,5
Kevin  Magnussen  MAG,8,9
Esteban  Ocon  OCO,11,7
Sergio  Perez  PER,12,10
Fernando  Alonso  ALO,13,8
Nico  Hulkenberg  HUL,14,6
Lance  Stroll  STR,16,12
Sergey  Sirotkin  SIR,17,14
Stoffel  Vandoorne  VAN,18,11
Pierre  Gasly  GAS,19,13
