driver,fp3_pos,race_pos
Nico  Rosberg  ROS,1,2
Lewis  Hamilton  HAM,2,1
Daniel  Ricciardo  RIC,3,15
Valtteri  Bottas  BOT,4,5
Felipe  Massa  MAS,5,17
Kimi  Räikkönen  RAI,6,4
Max  Verstappen  VER,7,9
Sebastian  Vettel  VET,8,3
Romain  Grosjean  GRO,9,7
Carlos  Sainz  SAI,10,10
Nico  Hulkenberg  HUL,11,6
Jenson  Button  BUT,12,16
Marcus  Ericsson  ERI,13,14
Daniil  Kvyat  KVY,14,13
Pastor  Maldonado  MAL,15,8
Fernando  Alonso  ALO,16,11
Sergio  Perez  PER,17,12
Felipe  Nasr  NAS,18,20
Will  Stevens  STE,19,19
Alexander  Rossi  RSI,20,18
