driver,fp3_pos,race_pos
Felipe  Massa  MAS,2,12
Nico  Rosberg  ROS,3,2
Fernando  Alonso  ALO,4,6
Daniel  Ricciardo  RIC,5,1
Kimi  Räikkönen  RAI,6,10
Valtteri  Bottas  BOT,7,7
Jean-Eric  Vergne  VER,9,8
Sebastian  Vettel  VET,10,3
Nico  Hulkenberg  HUL,11,5
Kevin  Magnussen  MAG,12,9
Sergio  Perez  PER,14,11
Jenson  Button  BUT,16,4
Adrian  Sutil  SUT,17,13
