driver,fp3_pos,race_pos
Max  Verstappen  VER,1,4
Lewis  Hamilton  HAM,2,1
Daniel  Ricciardo  RIC,3,3
Nico  Rosberg  ROS,4,2
Valtteri  Bottas  BOT,5,8
Sebastian  Vettel  VET,6,5
Kimi  Räikkönen  RAI,7,6
Felipe  Massa  MAS,8,9
Nico  Hulkenberg  HUL,9,7
Carlos  Sainz  SAI,10,16
Sergio  Perez  PER,11,10
Daniil  Kvyat  KVY,12,18
Fernando  Alonso  ALO,13,13
Jolyon  Palmer  PAL,14,14
Jenson  Button  BUT,15,12
Marcus  Ericsson  ERI,16,11
Esteban  Gutierrez GUT,17,19
Kevin  Magnussen  MAG,18,17
Romain  Grosjean  GRO,19,20
